"industry","alpha","alpha t ratio","alpha p value","beta","beta t ratio","beta p value","R","fitted-performance","in-sample performance","out-of-sample performance"
"Agric","1.00547394929221","2.02745266751758","0.0448691060449522","0.584429763161615","5.6450307530211","1.15676137674345e-07","0.212631904904488","1.1444124908334","1.00172417424639","-0.726443360678086"
"Food","0.479003717791396","1.39866345564254","0.164536734139044","0.366182576964775","5.12184116477221","1.19224710870851e-06","0.181880777553425","0.673740782432286","0.604308061336345","-0.193395590091017"
"Soda","0.851133582332616","1.33083819771629","0.185808114258214","0.657387089978152","4.92382703078831","2.78729690914172e-06","0.170439950016997","0.968813153201797","0.727198820699348","0.00970508137303483"
"Beer","0.273242888366127","0.685667044669288","0.494267991867449","0.297065455797129","3.57084211194474","0.000515938373427166","0.0975206448505431","0.48336599098685","0.388169706315378","-0.00252701664853472"
"Smoke","1.66914271369919","2.53136865195029","0.0126770528569832","0.461636991731902","3.35364134353793","0.00107272275225383","0.0870187940150169","1.84105299819476","1.58568826129749","-0.12220475369713"
"Toys","0.270137434287947","0.596203427376907","0.552181327081326","0.98791692781854","10.4444171873741","1.76312031620017e-18","0.480372732160514","0.275078222847058","0.151441661410534","-0.179503553169957"
"Fun","0.55649614068033","1.20279053664179","0.231465237525057","1.53987192312618","15.9428710045041","3.25961291666893e-31","0.682944966956623","0.313606890054297","0.186687605868341","0.549273132378469"
"Books","-0.31042064088471","-0.818000231166654","0.4150057877987","0.989786253188162","12.4939090175498","2.45049067774738e-23","0.569496668243356","-0.306873025050214","-0.386908915880246","-0.536231327898129"
"Hshld","0.175981564494097","0.503464449916598","0.61557633689361","0.458844806977454","6.2881304495601","5.62248366904734e-09","0.250986656317526","0.348237735560686","0.274325939686271","-0.169647321923128"
"Clths","0.885878583228165","2.01521263189422","0.0461550337007158","1.02803791665986","11.202369497494","2.77971197702083e-20","0.515386643197023","0.876117403312648","0.763586158299423","0.175020716284213"
"Hlth","0.65373011289472","1.16544670465028","0.246188665875116","0.455439363178632","3.88936388708849","0.000166693609741971","0.113629348197259","0.826960257879816","0.638345451839462","-0.202901664647159"
"MedEq","0.522045349378166","1.64484567056383","0.102663088637449","0.625095751294843","9.43447108920149","4.37850294451255e-16","0.429977148352924","0.649115396887157","0.585179255927171","0.141978925318087"
