"industry","alpha","alpha t ratio","alpha p value","beta","beta t ratio","beta p value","R","expected performance","in sample performance","out sample performance"
"Agric",0.212999365434795,0.916320898983374,0.359960664941132,0.83071641413109,16.7553039639573,6.56722988055343e-50,0.370008346575558,0.158612750596062,0.0463371003921909,-0.668731438604975
"Food",0.36055863962915,2.28684567453367,0.0226411522491559,0.688847358138001,20.4839725523906,2.10553124654748e-67,0.467464730721846,0.260593018023596,0.2265117870341,-0.120599797591026
"Soda",0.244224897702371,0.942868505819907,0.346224457932206,0.874520467457156,15.8292890012528,1.10970461897389e-45,0.34391703162028,0.203911438062896,0.0594036558114075,0.135641233573369
"Beer",0.323871005769964,1.66742139584336,0.0960856156715583,0.776922304976158,18.753447924424,3.23077358484475e-59,0.423882464809483,0.252201678728598,0.18267145780968,0.0702164053896448
"Smoke",0.696891999175311,2.67059930081192,0.00782967672347598,0.648387104925077,11.649515361229,8.8389506018122e-28,0.221132034658892,0.583927502360008,0.447586531146849,0.0440361053803073
"Toys",-0.237056130008984,-1.04739892725994,0.295444945749217,1.17221898972453,24.2828649257429,1.89763120352031e-85,0.552290891961518,-0.181726442762658,-0.327950138461119,-0.235175590000125
"Fun",0.166178734416708,0.743279547265666,0.457677608437014,1.33989562275816,28.0981638467092,2.76946088076494e-103,0.622881711055256,0.275378762437348,0.103285002543418,0.571500428305183
"Books",-0.039524537940146,-0.249926369213067,0.802751663533748,1.05584076091879,31.3021335074873,8.04670038569268e-118,0.672113956434688,-0.0215842873198418,-0.0858282579079939,-0.54681962276979
"Hshld",0.038201276961297,0.266397212094514,0.790048187666571,0.828265998252902,27.0801998588385,1.42334123303495e-98,0.605394773334998,-0.0169725956843737,-0.0493371741479454,-0.119343562982888
"Clths",0.0853685911684143,0.416487770875049,0.677240064117936,1.12342570812182,25.6967816597105,4.1235017770408e-92,0.580084621575528,0.125022207993483,0.0106722554845673,0.154546453987137
"Hlth",-0.000290653017232206,-0.000941648517420358,0.999249066147781,1.13931219339813,17.305612446474,1.88670523319081e-52,0.385196526973016,0.0444668972543605,-0.202586495773605,-0.166950892464235
